URL,File,TimePeriod,Ext,ClimModel,ClimScenario,Var,OutName,Long_name,unit,explanation
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdgfgd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdgfgd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdgfgd5,gdgfgd5_2041-2070_MRI-ESM2-0_ssp585,First growing degree day above 5 deg C,julian day,First day of the year above 5 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gsl_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gsl_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gsl,gsl_2041-2070_MRI-ESM2-0_ssp585,growing season length TREELIM,# days,Length of the growing season
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gsp_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gsp_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gsp,gsp_2041-2070_MRI-ESM2-0_ssp585,Accumulated precipiation amount on growing season days TREELIM,kg m-2,precipitation sum accumulated on all days during the growing season based on TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gst_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gst_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gst,gst_2041-2070_MRI-ESM2-0_ssp585,Mean temperature of the growing season TREELIM,deg C,Mean temperature of all growing season days based on TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg0,kg0_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Koeppen Geiger - Koeppen&Geiger (1936)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg1_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg1_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg1,kg1_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Koeppen Geiger without As/Aw differentiation - Koeppen&Geiger (1936)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg2_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg2_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg2,kg2_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Koeppen Geiger after Peel et al. 2007
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg3_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg3_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg3,kg3_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Wissmann 1939
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg4_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg4_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg4,kg4_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Thornthwaite 1931
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_kg5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_kg5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,kg5,kg5_2041-2070_MRI-ESM2-0_ssp585,Koeppen-Geiger climate classification,category,Troll-Pfaffen - Troll&Paffen (1964)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_lgd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_lgd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,lgd,lgd_2041-2070_MRI-ESM2-0_ssp585,last day of the growing season TREELIM,julian day,Last day of the growing season according to TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_ngd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_ngd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,ngd0,ngd0_2041-2070_MRI-ESM2-0_ssp585,Number of growing degree days,# days,Number of days at which tas > 0 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_ngd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_ngd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,ngd10,ngd10_2041-2070_MRI-ESM2-0_ssp585,Number of growing degree days,# days,Number of days at which tas > 10 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_ngd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_ngd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,ngd5,ngd5_2041-2070_MRI-ESM2-0_ssp585,Number of growing degree days,# days,Number of days at which tas > 5 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_npp_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_npp_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,npp,npp_2041-2070_MRI-ESM2-0_ssp585,Net primary productivity,g C m-2 yr-1,"Calculated based on the ""Miami model"", Lieth, H., 1972. “Modelling the primary productivity of the earth. Nature and resources”, UNESCO, VIII, 2:5-10."
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_scd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_scd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,scd,scd_2041-2070_MRI-ESM2-0_ssp585,Snow cover days,count,Number of days with snowcover calculated using the snowpack model implementation in from TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_swe_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_swe_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,swe,swe_2041-2070_MRI-ESM2-0_ssp585,Snow water equivalent,kg m-2,Amount of luquid water if snow is melted
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp126/bio/CHELSA_bio10_2041-2070_ukesm1-0-ll_ssp126_V.2.1.tif,CHELSA_bio10_2041-2070_ukesm1-0-ll_ssp126_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp126,bio10,bio10_2041-2070_UKESM1-0-LL_ssp126,mean daily mean air temperatures of the warmest quarter,deg C,The warmest quarter of the year is determined (to the nearest month)
